beta0,nu2,x_ini,h,omega_b,omega_c,logpost,chi2_total,chi2_sn,chi2_bao,chi2_growth,chi2_prior,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag,sigma8_0_pred,S8_0_pred,h,omega_b,omega_c,Omega_b0,Omega_c0,Omega_r0
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
0.01336793117525712,0.012412544995866711,0.14146630201147847,0.6788550098141318,0.022443414690966706,0.11894767390508353,-705.3891234029977,1408.3478900250434,1389.0354307889938,13.550260763516514,5.762198472533076,2.430356780951985,0.6933125199608963,3384.00642168054,0.6531428497412765,0.00030651930773797914,147.9985504582191,1020.7407403829961,0.8115298662792233,0.8206876006508669,0.6788550098141318,0.022443414690966706,0.11894767390508353,0.048700663641170545,0.2581082574784255,9.063753160132587e-05
